source_image_id,latitude,longitude,sun_angle,season,resolution
SRC_123,0.0,180.0,54.598149,N-autumn,0.5
SRC_103,-35.0,180.0,57.090396,N-autumn,0.25
SRC_093,-25.0,180.0,43.343655,N-autumn,0.5
SRC_018,-90.0,0.0,67.882485,N-winter,0.25
SRC_113,-35.0,180.0,36.668707,N-winter,0.25
SRC_097,0.0,180.0,35.318175,N-winter,0.25
SRC_139,40.0,180.0,53.533251,N-winter,0.25
SRC_143,90.0,0.0,68.916652,N-spring,0.5
SRC_133,-10.0,180.0,48.887369,N-spring,0.5
SRC_095,-20.0,180.0,56.495654,N-spring,0.5
SRC_116,5.0,180.0,41.203028,N-spring,0.25
SRC_134,-30.0,180.0,69.607895,N-spring,0.5
SRC_073,45.0,180.0,41.537171,N-spring,0.25
SRC_055,-5.0,180.0,57.335076,N-spring,0.25
SRC_082,-10.0,180.0,60.444036,N-spring,0.25
SRC_083,0.0,180.0,55.378885,N-spring,0.25
SRC_128,90.0,0.0,56.634817,N-spring,0.5
SRC_136,-35.0,180.0,76.922409,N-spring,0.5
SRC_111,-35.0,180.0,79.069883,N-spring,1.0
SRC_061,50.0,180.0,43.110277,N-spring,0.5
SRC_086,15.0,180.0,43.648742,N-summer,0.5
SRC_020,35.0,180.0,42.075965,N-summer,0.25
SRC_090,50.0,180.0,47.196626,N-summer,0.25
SRC_066,-10.0,180.0,61.81065,N-summer,0.5
SRC_060,90.0,0.0,64.124177,N-summer,0.25
SRC_084,-10.0,180.0,58.957849,N-summer,0.25
SRC_124,0.0,180.0,51.928413,N-summer,0.25
SRC_150,10.0,180.0,50.798821,N-summer,0.5
SRC_161,5.0,180.0,52.294471,N-summer,0.25
SRC_056,-40.0,180.0,74.660587,N-summer,0.5
SRC_120,90.0,0.0,69.983669,N-summer,0.25
SRC_108,-40.0,180.0,68.856247,N-summer,0.5
SRC_004,30.0,180.0,61.107468,N-autumn,0.5
SRC_121,25.0,180.0,67.446292,N-autumn,0.5
SRC_148,-15.0,180.0,49.227137,N-autumn,0.25
SRC_045,-90.0,0.0,70.559818,N-autumn,0.25
SRC_038,-15.0,180.0,32.097448,N-winter,0.25
SRC_130,25.0,180.0,37.507656,N-spring,0.25
SRC_102,-10.0,180.0,52.255853,N-spring,0.25
SRC_023,-10.0,180.0,50.837437,N-spring,0.25
SRC_047,0.0,180.0,48.028677,N-spring,0.5
SRC_030,-25.0,180.0,67.936804,N-spring,0.5
SRC_063,25.0,180.0,41.329237,N-spring,0.25
SRC_011,-20.0,180.0,70.371153,N-summer,0.25
SRC_110,90.0,0.0,59.038071,N-summer,0.25
SRC_069,25.0,180.0,48.120522,N-summer,0.5
SRC_109,50.0,180.0,54.137665,N-summer,0.25
SRC_025,-35.0,180.0,74.862823,N-summer,0.5
SRC_087,0.0,180.0,54.65824,N-summer,0.25
SRC_155,-5.0,180.0,59.117539,N-summer,0.25
SRC_005,0.0,180.0,55.846781,N-summer,0.5
SRC_035,0.0,180.0,56.990187,N-autumn,0.25
SRC_031,-90.0,0.0,62.684336,N-winter,0.5
SRC_044,-90.0,0.0,81.862162,N-autumn,0.5
SRC_117,-90.0,0.0,60.317034,N-winter,0.25
SRC_017,-90.0,0.0,64.6979,N-winter,0.25
SRC_052,5.0,180.0,51.705435,N-summer,0.25
SRC_098,-45.0,180.0,70.730178,N-summer,0.25
SRC_048,-25.0,180.0,61.920556,N-autumn,0.25
SRC_164,20.0,180.0,59.226879,N-autumn,0.25
SRC_012,-90.0,0.0,85.677016,N-autumn,0.5
SRC_081,-90.0,0.0,74.772433,N-autumn,0.25
SRC_094,20.0,180.0,66.934532,N-autumn,0.25
SRC_153,-40.0,180.0,43.960452,N-autumn,0.25
SRC_075,-90.0,0.0,65.329336,N-winter,0.25
SRC_014,-40.0,180.0,38.480327,N-winter,0.25
SRC_142,-30.0,180.0,34.276784,N-winter,0.25
SRC_072,15.0,180.0,46.966801,N-winter,0.25
SRC_007,20.0,180.0,49.485932,N-winter,0.25
SRC_077,-5.0,180.0,34.299081,N-winter,0.25
SRC_054,5.0,180.0,37.41608,N-winter,0.25
SRC_162,-90.0,0.0,77.7898,N-winter,0.25
SRC_042,10.0,180.0,36.92431,N-spring,0.5
SRC_003,0.0,180.0,38.090051,N-spring,0.25
SRC_013,50.0,180.0,54.051464,N-spring,0.5
SRC_085,0.0,180.0,39.187341,N-spring,0.25
SRC_140,35.0,180.0,44.85556,N-spring,0.25
SRC_137,-5.0,180.0,45.053172,N-spring,0.25
SRC_078,15.0,180.0,40.437008,N-spring,0.25
SRC_115,25.0,180.0,41.8845,N-spring,0.25
SRC_144,-35.0,180.0,76.731052,N-spring,0.5
SRC_067,-15.0,180.0,64.724247,N-spring,0.5
SRC_009,-25.0,180.0,73.827745,N-spring,0.5
SRC_172,55.0,180.0,47.744159,N-summer,0.25
SRC_138,25.0,180.0,44.714676,N-summer,0.25
SRC_105,90.0,0.0,71.333916,N-summer,0.5
SRC_034,40.0,180.0,46.055099,N-summer,0.25
SRC_050,0.0,180.0,53.680047,N-summer,0.25
SRC_126,-20.0,180.0,68.779144,N-summer,0.5
SRC_154,0.0,180.0,54.770875,N-summer,0.5
SRC_080,-25.0,180.0,69.726065,N-summer,0.25
SRC_151,-15.0,180.0,63.408071,N-summer,0.5
